Word,Expected_Structure,Predicted_Structure,Score,Correct
也好,ModHead,ModHead,0.0,True
书记,ModHead,ModHead,0.0,True
亲人,ModHead,ModHead,0.0,True
亲近,Coord,Coord,0.400391,True
人才,ModHead,ModHead,0.0,True
人数,ModHead,ModHead,0.5,True
他人,ModHead,ModHead,0.0,True
信念,ModHead,ModHead,0.0,True
先后,Coord,Coord,0.900391,True
初级,ModHead,ModHead,0.0,True
别人,ModHead,ModHead,0.200195,True
别看,ModHead,ModHead,0.0,True
动人,ModHead,ModHead,0.0,True
北边,ModHead,ModHead,0.0,True
发动,Result,Serial,0.200195,False
发起,Result,VerbObj,0.099609,False
后人,ModHead,ModHead,0.0,True
后头,ModHead,ModHead,0.0,True
后边,ModHead,ModHead,0.0,True
回信,VerbObj,VerbObj,0.099609,True
回国,VerbObj,VerbObj,0.099609,True
回头,VerbObj,VerbObj,0.099609,True
国土,ModHead,ModHead,0.0,True
国歌,ModHead,ModHead,0.0,True
夜晚,Coord,Coord,0.400391,True
头发,ModHead,ModHead,0.5,True
好人,ModHead,ModHead,0.0,True
好看,ModHead,ModHead,0.0,True
完好,Coord,Coord,0.400391,True
完美,Coord,Coord,0.400391,True
完蛋,VerbObj,ModHead,0.0,False
平时,ModHead,ModHead,0.0,True
念书,VerbObj,ModHead,0.0,False
念头,ModHead,ModHead,0.0,True
才能,Coord,ModHead,0.5,False
拍卖,Serial,Serial,0.200195,True
提交,Serial,Serial,0.200195,True
提起,Result,VerbObj,0.099609,False
提高,Result,Result,0.599609,True
数字,ModHead,ModHead,0.5,True
新人,ModHead,ModHead,0.0,True
深信,ModHead,ModHead,0.0,True
深夜,ModHead,ModHead,0.0,True
看好,Result,Result,0.599609,True
看见,Result,Serial,0.200195,False
短信,ModHead,ModHead,0.0,True
短缺,Result,ModHead,0.0,False
祝福,VerbObj,VerbObj,0.099609,True
紧缺,ModHead,ModHead,0.0,True
级别,ModHead,SubjPred,1.200195,False
美人,ModHead,ModHead,0.0,True
美好,Coord,Coord,0.400391,True
背后,ModHead,ModHead,0.5,True
能人,ModHead,ModHead,0.5,True
能干,ModHead,ModHead,0.5,True
见证,VerbObj,VerbObj,0.099609,True
记住,Result,Serial,0.200195,False
证书,ModHead,ModHead,0.0,True
证人,ModHead,ModHead,0.0,True
起初,ModHead,Result,0.599609,False
起床,VerbObj,VerbObj,0.099609,True
起草,VerbObj,VerbObj,0.099609,True
起飞,Serial,Serial,0.200195,True
跳动,Result,Serial,0.200195,False
跳高,Result,Result,0.599609,True
这边,ModHead,ModHead,0.0,True
钟头,ModHead,ModHead,0.0,True
风雨,Coord,ModHead,0.0,False
飞船,ModHead,ModHead,0.0,True
高级,ModHead,ModHead,0.0,True
高贵,Coord,ModHead,0.0,False
高铁,ModHead,ModHead,0.0,True
鸡蛋,ModHead,ModHead,0.0,True
书信,Coord,ModHead,0.0,False
争先,Result,Result,1.599609,True
交办,Serial,Serial,0.200195,True
交好,Result,Result,0.599609,True
交配,Serial,Serial,0.200195,True
交钱,VerbObj,VerbObj,0.099609,True
亲信,ModHead,ModHead,0.0,True
亲旧,Coord,Coord,0.400391,True
亲美,ModHead,Coord,0.400391,False
人墙,ModHead,ModHead,0.0,True
人头,ModHead,ModHead,0.0,True
人烟,ModHead,ModHead,0.0,True
人肉,ModHead,ModHead,0.0,True
人证,ModHead,ModHead,0.0,True
人鱼,ModHead,ModHead,0.0,True
他国,ModHead,ModHead,0.0,True
先人,ModHead,ModHead,1.0,True
先发,ModHead,ModHead,0.0,True
先河,ModHead,ModHead,1.0,True
先见,ModHead,ModHead,0.0,True
刀背,ModHead,ModHead,0.5,True
初夜,ModHead,ModHead,0.0,True
别字,ModHead,ModHead,0.200195,True
办好,Result,Result,0.599609,True
办证,VerbObj,VerbObj,0.099609,True
动土,VerbObj,ModHead,0.0,False
动能,ModHead,ModHead,0.5,True
北国,ModHead,ModHead,0.0,True
北平,ModHead,ModHead,0.0,True
北约,ModHead,ModHead,0.5,True
北美,ModHead,ModHead,0.5,True
北风,ModHead,ModHead,0.0,True
卖国,VerbObj,VerbObj,0.099609,True
卖完,Result,Serial,0.200195,False
卖肉,VerbObj,VerbObj,0.099609,True
卖钱,VerbObj,VerbObj,0.099609,True
发回,Result,Serial,0.200195,False
发毛,VerbObj,VerbObj,0.099609,True
发白,Result,Result,0.599609,True
发福,Result,VerbObj,0.099609,False
发配,Serial,Serial,0.200195,True
后土,ModHead,ModHead,0.0,True
后背,ModHead,ModHead,0.5,True
后记,ModHead,ModHead,0.0,True
喝高,Result,Result,0.599609,True
回交,VerbObj,Serial,0.200195,False
回见,Serial,Serial,0.200195,True
国书,ModHead,ModHead,0.0,True
国人,ModHead,ModHead,0.0,True
国别,ModHead,ModHead,1.5,True
国风,ModHead,ModHead,0.0,True
土拍,ModHead,ModHead,0.0,True
土鸡,ModHead,ModHead,0.0,True
夜鸟,ModHead,Coord,0.400391,False
头回,ModHead,ModHead,0.5,True
头晚,ModHead,ModHead,0.0,True
头脸,Coord,ModHead,0.0,False
头铁,ModHead,ModHead,0.0,True
奶头,ModHead,ModHead,0.0,True
好办,Result,ModHead,0.0,False
好动,ModHead,ModHead,0.0,True
好喝,ModHead,ModHead,0.0,True
好时,ModHead,ModHead,0.0,True
好记,ModHead,ModHead,0.0,True
好鸟,ModHead,ModHead,0.0,True
字数,ModHead,ModHead,0.5,True
完人,ModHead,ModHead,0.0,True
干渴,Coord,Coord,0.400391,True
干系,ModHead,ModHead,0.0,True
干草,ModHead,ModHead,0.0,True
平头,ModHead,ModHead,0.0,True
平白,Coord,Coord,0.400391,True
平米,ModHead,ModHead,0.0,True
床头,ModHead,ModHead,0.0,True
床边,ModHead,ModHead,0.0,True
念旧,Result,Result,0.599609,True
慢跑,ModHead,ModHead,0.0,True
才干,Coord,ModHead,0.0,False
拍发,Serial,Serial,0.200195,True
提亲,VerbObj,VerbObj,0.099609,True
提干,VerbObj,VerbObj,0.099609,True
提级,VerbObj,VerbObj,0.099609,True
新北,ModHead,ModHead,0.0,True
新土,ModHead,ModHead,0.0,True
新河,ModHead,ModHead,0.0,True
新约,ModHead,ModHead,0.0,True
新贵,ModHead,ModHead,0.0,True
鸟飞,SubjPred,SubjPred,1.0,True
鸡跳,SubjPred,SubjPred,1.0,True
人跑,SubjPred,SubjPred,1.0,True
草绿,SubjPred,SubjPred,1.0,True
风动,SubjPred,SubjPred,1.0,True
